# Logfile created on 2026-09-21 22:06:19 +0700 by logger.rb/61378
2026-09-21 22:06:19 +0700: Memory Usage (417312K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/admin/work/final/IHP__MSPHY6034/dependencies/ADC/release/v.1.0.0/gds/SAR_ADC.gds
2026-09-21 22:06:19 +0700: Memory Usage (417312K) : Ruby Version for klayout: 2.5.9
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : Loading database to memory is complete.
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : IHP-SG13G2 KLayout DRC runset output at: /home/admin/work/final/IHP__MSPHY6034/dependencies/ADC/ADC-main/verification/drc/drc_run_2026_09_03dev_SAR_ADC/SAR_ADC_SAR_ADC_main.lyrdb
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : Evaluate switches.
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : tables selected: main
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : KLayout will use 96 thread(s) in tiling mode.
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : deep mode is enabled.
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : FEOL enabled: true
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : BEOL enabled: true
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : OFFGRID enabled: true
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : ANGLE enabled: true
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : PIN enabled: true
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : FORBIDDEN enabled: true
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : RECOMMENDED enabled: true
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : PreCheck DRC enabled: false
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : CONNECTIVITY_RULES enabled: true.
2026-09-21 22:06:19 +0700: Memory Usage (418744K) : Read in polygons from layers.
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : activ_drw has 3331 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : activ_pin has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : activ_mask has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : activ_filler has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : activ_nofill has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : activ_opc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : activ_iopc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : activ_noqrc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : biwind_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : biwind_opc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : pemwind_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : gatpoly_drw has 3046 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : gatpoly_pin has 87 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : gatpoly_filler has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : gatpoly_nofill has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (419728K) : gatpoly_opc has 0 polygons
