# Logfile created on 2026-09-21 21:33:20 +0700 by logger.rb/61378
2026-09-21 21:33:20 +0700: Memory Usage (416804K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/admin/work/final/IHP__MSPHY6034/dependencies/ADC/release/v.1.0.0/gds/SAR_ADC.gds
2026-09-21 21:33:20 +0700: Memory Usage (416804K) : Ruby Version for klayout: 2.5.9
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : Loading database to memory is complete.
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : IHP-SG13G2 KLayout DRC runset output at: /home/admin/work/final/IHP__MSPHY6034/dependencies/ADC/ADC-main/verification/drc/drc_run_2026_09_21_21_33_17/SAR_ADC_SAR_ADC_main.lyrdb
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : Evaluate switches.
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : tables selected: main
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : KLayout will use 96 thread(s) in tiling mode.
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : deep mode is enabled.
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : FEOL enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : BEOL enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : OFFGRID enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : ANGLE enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : PIN enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : FORBIDDEN enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : RECOMMENDED enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : PreCheck DRC enabled: false
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : CONNECTIVITY_RULES enabled: true.
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : Read in polygons from layers.
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : activ_drw has 3331 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : activ_pin has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : activ_mask has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : activ_filler has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : activ_nofill has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : activ_opc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : activ_iopc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417400K) : activ_noqrc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (419188K) : biwind_drw has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (419188K) : biwind_opc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (419188K) : pemwind_drw has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (419188K) : gatpoly_drw has 3046 polygons
2026-09-21 21:33:20 +0700: Memory Usage (419452K) : gatpoly_pin has 87 polygons
2026-09-21 21:33:20 +0700: Memory Usage (419452K) : gatpoly_filler has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (419452K) : gatpoly_nofill has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (419716K) : gatpoly_opc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (419716K) : gatpoly_iopc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (419716K) : gatpoly_noqrc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (420508K) : cont_drw has 22127 polygons
2026-09-21 21:33:20 +0700: Memory Usage (420508K) : cont_opc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (420508K) : nsd_drw has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (420508K) : nsd_block has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (420508K) : metal1_drw has 6117 polygons
2026-09-21 21:33:20 +0700: Memory Usage (420508K) : metal1_pin has 1897 polygons
2026-09-21 21:33:20 +0700: Memory Usage (420832K) : metal1_mask has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (420832K) : metal1_filler has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (420832K) : metal1_nofill has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (420832K) : metal1_slit has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421096K) : metal1_text has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421096K) : metal1_opc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421096K) : metal1_noqrc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421096K) : metal1_res has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421412K) : metal1_iprobe has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421412K) : metal1_diffprb has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421412K) : passiv_drw has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421412K) : passiv_pin has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421412K) : passiv_sbump has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421676K) : passiv_pillar has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421676K) : passiv_pdl has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421676K) : metal2_drw has 2258 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421940K) : metal2_pin has 12 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421940K) : metal2_mask has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (421940K) : metal2_filler has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422204K) : metal2_nofill has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422204K) : metal2_slit has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422204K) : metal2_text has 16 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422204K) : metal2_opc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422204K) : metal2_noqrc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422204K) : metal2_res has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422588K) : metal2_iprobe has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422588K) : metal2_diffprb has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422588K) : baspoly_drw has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422588K) : baspoly_pin has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422588K) : psd_drw has 1325 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422852K) : nldb_drw has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422852K) : digibnd_drw has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (422852K) : via1_drw has 2251 polygons
2026-09-21 21:33:20 +0700: Memory Usage (423116K) : backmetal1_drw has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (423116K) : backmetal1_pin has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (423116K) : backmetal1_mask has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (423116K) : backmetal1_filler has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (423380K) : backmetal1_nofill has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (423380K) : backmetal1_slit has 0 polygons
