# Logfile created on 2026-09-21 21:33:20 +0700 by logger.rb/61378
2026-09-21 21:33:20 +0700: Memory Usage (416372K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/admin/work/final/IHP__MSPHY6034/dependencies/OTA/release/v.1.0.0/gds/OTA5174.gds
2026-09-21 21:33:20 +0700: Memory Usage (416372K) : Ruby Version for klayout: 2.5.9
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : Loading database to memory is complete.
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : IHP-SG13G2 KLayout DRC runset output at: /home/admin/work/final/IHP__MSPHY6034/dependencies/OTA/OTA-main/verification/drc/drc_run_2026_09_21_21_33_17/OTA5174_OTA5174_main.lyrdb
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : Evaluate switches.
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : tables selected: main
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : KLayout will use 96 thread(s) in tiling mode.
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : deep mode is enabled.
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : FEOL enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : BEOL enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : OFFGRID enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : ANGLE enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : PIN enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : FORBIDDEN enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : RECOMMENDED enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : PreCheck DRC enabled: false
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : CONNECTIVITY_RULES enabled: true.
2026-09-21 21:33:20 +0700: Memory Usage (416540K) : Read in polygons from layers.
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : activ_drw has 540 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : activ_pin has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : activ_mask has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : activ_filler has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : activ_nofill has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : activ_opc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : activ_iopc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : activ_noqrc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : biwind_drw has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : biwind_opc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : pemwind_drw has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : gatpoly_drw has 353 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : gatpoly_pin has 159 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : gatpoly_filler has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : gatpoly_nofill has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : gatpoly_opc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : gatpoly_iopc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : gatpoly_noqrc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (417784K) : cont_drw has 1991 polygons
2026-09-21 21:33:20 +0700: Memory Usage (418460K) : cont_opc has 0 polygons
2026-09-21 21:33:20 +0700: Memory Usage (418460K) : nsd_drw has 26 polygons
2026-09-21 21:33:20 +0700: Memory Usage (418460K) : nsd_block has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (418724K) : metal1_drw has 1280 polygons
2026-09-21 21:33:21 +0700: Memory Usage (418724K) : metal1_pin has 439 polygons
2026-09-21 21:33:21 +0700: Memory Usage (418724K) : metal1_mask has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (418724K) : metal1_filler has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419168K) : metal1_nofill has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419168K) : metal1_slit has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419168K) : metal1_text has 20 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419168K) : metal1_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419168K) : metal1_noqrc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419168K) : metal1_res has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419168K) : metal1_iprobe has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419168K) : metal1_diffprb has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419656K) : passiv_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419656K) : passiv_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419656K) : passiv_sbump has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419656K) : passiv_pillar has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419920K) : passiv_pdl has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419920K) : metal2_drw has 837 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419920K) : metal2_pin has 35 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419920K) : metal2_mask has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420184K) : metal2_filler has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420184K) : metal2_nofill has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420184K) : metal2_slit has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420184K) : metal2_text has 13 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420184K) : metal2_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420448K) : metal2_noqrc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420448K) : metal2_res has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420448K) : metal2_iprobe has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420448K) : metal2_diffprb has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420712K) : baspoly_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420712K) : baspoly_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420712K) : psd_drw has 113 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420712K) : nldb_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420976K) : digibnd_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420976K) : via1_drw has 1023 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420976K) : backmetal1_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420976K) : backmetal1_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421240K) : backmetal1_mask has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421240K) : backmetal1_filler has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421240K) : backmetal1_nofill has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421240K) : backmetal1_slit has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421240K) : backmetal1_text has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421504K) : backmetal1_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421504K) : backmetal1_noqrc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421504K) : backmetal1_res has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421504K) : backmetal1_iprobe has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421768K) : backmetal1_diffprb has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421768K) : backpassiv_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421768K) : res_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421768K) : sram_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421768K) : trans_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421768K) : ind_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422032K) : ind_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422032K) : ind_text has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422032K) : salblock_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422032K) : via2_drw has 228 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422296K) : metal3_drw has 195 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422296K) : metal3_pin has 13 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422296K) : metal3_mask has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422296K) : metal3_filler has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422560K) : metal3_nofill has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422560K) : metal3_slit has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422560K) : metal3_text has 8 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422560K) : metal3_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422560K) : metal3_noqrc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422824K) : metal3_res has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422824K) : metal3_iprobe has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422824K) : metal3_diffprb has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422824K) : nwell_drw has 106 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422824K) : nwell_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423088K) : nbulay_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423088K) : nbulay_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423088K) : nbulay_block has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423088K) : emwind_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423352K) : emwind_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423352K) : deepco_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423352K) : deepco_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423352K) : mim_drw has 15 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423352K) : edgeseal_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423616K) : edgeseal_bound has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423616K) : substrate_drw has 82 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423616K) : substrate_text has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423616K) : dfpad_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423880K) : dfpad_pillar has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423880K) : dfpad_sbump has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423880K) : thickgateox_drw has 184 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423880K) : pldb_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424144K) : pwell_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424144K) : pwell_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424144K) : pwell_block has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424144K) : ic_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424144K) : via3_drw has 115 polygons
