# Logfile created on 2026-09-21 21:33:20 +0700 by logger.rb/61378
2026-09-21 21:33:20 +0700: Memory Usage (416852K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/admin/work/final/IHP__MSPHY6034/dependencies/PMIC/release/v.1.0.0/gds/Full_Layout.gds
2026-09-21 21:33:20 +0700: Memory Usage (416852K) : Ruby Version for klayout: 2.5.9
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : Loading database to memory is complete.
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : IHP-SG13G2 KLayout DRC runset output at: /home/admin/work/final/IHP__MSPHY6034/dependencies/PMIC/PMIC-main/verification/drc/drc_run_2026_09_21_21_33_17/Full_Layout_Full_Layout_main.lyrdb
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : Evaluate switches.
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : tables selected: main
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : KLayout will use 96 thread(s) in tiling mode.
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : deep mode is enabled.
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : FEOL enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : BEOL enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : OFFGRID enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : ANGLE enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : PIN enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : FORBIDDEN enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : RECOMMENDED enabled: true
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : PreCheck DRC enabled: false
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : CONNECTIVITY_RULES enabled: true.
2026-09-21 21:33:20 +0700: Memory Usage (417952K) : Read in polygons from layers.
2026-09-21 21:33:21 +0700: Memory Usage (419568K) : activ_drw has 27929 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419884K) : activ_pin has 3 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419884K) : activ_mask has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419884K) : activ_filler has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (419884K) : activ_nofill has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420148K) : activ_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420148K) : activ_iopc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420148K) : activ_noqrc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420148K) : biwind_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420148K) : biwind_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420412K) : pemwind_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420412K) : gatpoly_drw has 18468 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420412K) : gatpoly_pin has 22 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420676K) : gatpoly_filler has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420676K) : gatpoly_nofill has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420676K) : gatpoly_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420676K) : gatpoly_iopc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (420676K) : gatpoly_noqrc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421204K) : cont_drw has 300568 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421468K) : cont_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421468K) : nsd_drw has 5 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421732K) : nsd_block has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (421732K) : metal1_drw has 39513 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422236K) : metal1_pin has 80 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422236K) : metal1_mask has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422236K) : metal1_filler has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422500K) : metal1_nofill has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422500K) : metal1_slit has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422500K) : metal1_text has 53 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422500K) : metal1_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422872K) : metal1_noqrc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422872K) : metal1_res has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422872K) : metal1_iprobe has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422872K) : metal1_diffprb has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (422872K) : passiv_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423136K) : passiv_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423136K) : passiv_sbump has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423136K) : passiv_pillar has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423136K) : passiv_pdl has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423400K) : metal2_drw has 39470 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423400K) : metal2_pin has 1 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423400K) : metal2_mask has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423664K) : metal2_filler has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423664K) : metal2_nofill has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423664K) : metal2_slit has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423664K) : metal2_text has 6 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423664K) : metal2_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423928K) : metal2_noqrc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423928K) : metal2_res has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423928K) : metal2_iprobe has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423928K) : metal2_diffprb has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423928K) : baspoly_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423928K) : baspoly_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424192K) : psd_drw has 179 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424192K) : nldb_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424192K) : digibnd_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424456K) : via1_drw has 231469 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424720K) : backmetal1_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424720K) : backmetal1_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424720K) : backmetal1_mask has 0 polygons
